a|يك(0.5)
active|فعال(0.75),كاري(0.25),ساعي(0.25),داير(0.25),كنشي(0.25),حاضر بخدمت(0.25),تنزل بردار(0.25),با ربح(0.25),معلوم(0.25),كنشور(0.25),كنشگر(0.25),پر كار(0.25)
activist|فعال(0.75)
activity|فعاليت(0.75),كنشوري(0.25),كار(0.25),چابكي(0.25),زنده دلي(0.25),اكتيوايي(0.25)
actor|بازيگر(0.75),هنرپيشه(0.75),خواهان(0.25),شاكي(0.25),حامي(0.25)
actual|واقعي(0.75),حقيقي(0.5),فعلي(0.5)
actually|واقعا(0.75),عملا(0.5),در حقيقت(0.5),بالفعل(0.25),فعلا(0.25)
acute|حاد(0.75),تيزرو(0.25),تيز(0.25),تند(0.25),نوك تيز(0.25),بحراني(0.25),زيرك(0.25),شديد تيز(0.25),زير(0.25),حساس(0.25),روشن بين(0.25),تيز نظر(0.25),ضربه(0.25)
ad|اگهي(0.75)
adapt|وفق دادن(0.5),جور كردن(0.25),سازوار كردن(0.25),اقتباس كردن(0.25),درست كردن(0.25),تعديل كردن(0.25),مطابقت كردن(0.25)
add|افزودن(0.75),زياد كردن(0.25),اضافه كردن(0.75),جمع كردن(0.25),جمع زدن(0.25),باهم پيوستن(0.25),باخود تركيب كردن(0.25),ضميمه كردن(0.25)
addiction|اعتياد(0.75),خو گرفتگي(0.25),اعتياد دادن(0.25),عادت(0.25),ميل(0.25),تمايل(0.25),خوي(0.25),طبع(0.25),فرقه(0.25)
addictive|معتاد كننده(0.5)
addition|اضافه(0.75),جمع(0.5),افزايش(0.25),لقب(0.25),متمماسم(0.25),اسم اضافي(0.25),ضميمه(0.25),تركيب چند ماده با هم(0.25),سرك(0.25)
additional|اضافي(0.75),افزوده(0.5),فرعي(0.25)
additive|افزودني(0.75),افزايشي(0.5),افزاينده(0.5)
address|نشاني(0.75),ادرس(0.5),خطاب(0.5),عنوان(0.25),نام و نشان(0.25),سرنامه(0.25),خطابه(0.25),نطق(0.25),طرزخطاب(0.25),مهارت(0.25),ارسال(0.25),خطابت(0.25)
adenauer|adenauer(0.75)
adequate|متناسب(0.75),كافي(0.75),مساوي(0.25),مناسب(0.75),بسنده(0.5),تكافو كننده(0.25),لايق(0.25),صلاحيت دار(0.25),رسا(0.25),متساوي بودن(0.25),مساوي ساختن(0.25),شايسته بودن(0.25)
adequately|به اندازه كافي(0.75)
adjust|تنظيم كردن(0.5),تعديل كردن(0.25),ميزان كردن(0.25),وفق دادن(0.25),تسويه نمودن(0.25),مطابق كردن(0.25),سازگار كردن(0.25)
administer|اداره كردن(0.5),تقسيم كردن(0.25),تهيه كردن(0.25),اجرا كردن(0.25),توزيع كردن(0.25),تصفيه كردن(0.25),نظارت كردن(0.25),وصايت كردن(0.25),انجام دادن(0.25),اعدام كردن(0.25),كشتن(0.25),رهبري كردن(0.25)
administration|حكومت(0.5),اداره كل(0.25),اجرا(0.25),الغا(0.25),تصفيه(0.25),وصايت(0.25),تقسيمات جز وزارتخانهها در شهرها(0.25),فرمداري(0.25),سياست(0.25)
administrative|اداري(0.75),اجرايي(0.5),مجري(0.25)
administrator|مدير(0.75),سرپرست(0.75),فرمدار(0.25),رييس(0.25),مدير تصفيه(0.25),وصي و مجري(0.25)
admire|حظ كردن(0.5),پسند كردن(0.25),تحسين كردن(0.25),تعجب كردن(0.25),مورد شگفت قراردادن(0.25),در شگفت شدن(0.25),متحير كردن(0.25)
admiring|توصيف(0.75)
admission|پذيرش(0.75),وروديه(0.5),اعتراف(0.5),قبول(0.5),تصديق(0.25),دخول(0.25),درامد(0.25),اجازه ورود(0.25),بارداد(0.25)
admit|پذيرفتن(0.5),دادن(0.5),راه دادن(0.25),بار دادن(0.25),راضي شدن(0.25),رضايت دادن(0.25),تصديق كردن(0.25),زير بار رفتن(0.25),اقرار كردن(0.25),واگذار كردن(0.25),اعطا كردن(0.25)
admittedly|مسلما(0.75)
adolescent|نوجوان(0.75),جوان(0.5),بالغ(0.5),رشيد(0.25)
adolfo|ادولفو(0.75)
adopt|اتخاذ(0.75)
adoption|اتخاذ(0.75),اختيار(0.5),اقتباس(0.5),قبول(0.5),قبول به فرزندي(0.25),فرزند خوا ندگي(0.25)
adult|بالغ(0.75),بزرگ(0.5),كبير(0.25),به حد رشد رسيده(0.25),با وقار(0.25),بزرگسال(0.75)
advance|پيشرفت(0.75),جلو بردن(0.25),مساعده(0.25),پيش قسط(0.25),سبقت(0.25),پيش روي(0.25),پيش پرداخت(0.25),ربون(0.25),پيش بردن(0.5),جلو رفتن(0.25),جلو بردن(0.25),ترقي دادن(0.25)
advanced|پيشرفته(0.75),قبلا تهيه شده(0.25),قبلا تجهيز شده(0.25),ترقي كرده(0.25),پيش افتاده(0.25),جلوافتاده(0.25),مترقي(0.25)
advancement|پيشرفت(0.75),ترقي(0.5),ترفيع(0.25),ترويج(0.25)
advantage|مزيت(0.75),برتري(0.5),صرفه(0.25),تفوق(0.25),سود(0.5),منفعت(0.5),فايده(0.5),بهتري(0.25),حسن(0.25),سبقت(0.25),مزيت دادن(0.25),سودمند بودن(0.25),فيضالهيبخشيدن(0.25)
advantageous|سودمند(0.75),مفيد(0.5),نافع(0.25),با صرفه(0.5),خوش ايند(0.25)
adventurous|پرماجرا(0.75),حادثه جو(0.5),پرحادثه(0.5),بي پروا(0.5),دلير(0.5)
adversary|دشمن(0.75),عدو(0.5),ضد(0.25),مخالف(0.5),رقيب(0.5),مبارز(0.5),حريف(0.5),مدعي(0.5),خصم(0.5),هم اورد(0.5),متخاصم(0.5),مبارز(0.5),ضد(0.25)
adverse|مضر(0.5),مخالف(0.5),مغاير(0.25),روبرو(0.25),نا سازگار(0.25)
advertisement|اعلان(0.5),اگهي(0.25),خبر(0.25),اگاهي(0.25)
advertiser|تبليغ(0.75)
advertising|تبليغات(0.75)
advice|اطلاع(0.5),اگاهي(0.25),خبر(0.25),مشورت(0.5),اندرز(0.5),رايزني(0.5),نصيحت(0.5),نظر(0.5),پند(0.5),صوابديد(0.25),مصلحت(0.25)
advise|توصيه(0.75)
advisory|مشورتي(0.75)
advocate|مدافع(0.75),حامي(0.75),طرفدار(0.75),وكيل مدافع(0.5),دفاع كردن(0.25),طرفداري كردن(0.25)
aerosol|ائروسل(0.75)
aesthetic|زيبايي(0.75)
affect|اثر(0.5),اثر كردن بر(0.25),تغيير دادن(0.25),متاثر كردن(0.25),وانمود كردن(0.25),دوست داشتن(0.25),تمايل داشتن(0.25),تظاهر كردن به(0.25)
affirmation|تاكيد(0.75),اثبات(0.75),تصديق(0.5),تصريح(0.5),اظهار قطعي(0.5)
affirmative|مثبت(0.75),تصديق اميز(0.5),اظهار مثبت(0.5),عبارت مثبت(0.5)
afford|استطاعت(0.75)
afghani|افغاني(0.75)
africa|افريقا(0.75)
african|افريقايي(0.5)
after|پس از(0.75),بعد از(0.75),در عقب(0.25),بتقليد(0.25),بيادبود(0.25),عقب(0.25),پشت سر(0.25),در پي(0.25),در جستجوي(0.25),در صدد(0.25),مابعد(0.25)
afternoon|بعد از ظهر(0.75),عصر(0.75)
again|دوباره(0.75),باز هم(0.75),باز(0.75),ديگر(0.75),مجددا(0.75),پس(0.5),نيز(0.5),يكبار ديگر(0.5),بعلاوه(0.5),دگربار(0.25),از طرف ديگر(0.25),از نو(0.25),مكرر(0.25)
against|عليه(0.75),در برابر(0.75),در مقابل(0.75),ضد(0.75),با(0.5),بر(0.5),مخالف(0.5),به(0.5),برعليه(0.5),برضد(0.5),مجاور(0.25),بسوي(0.25)
agassi|اقاسي(0.75)
age|سن(0.75),عصر(0.75),دوره(0.25),عمر(0.5),پيري(0.25),سن بلوغ(0.25),عهد(0.25),پيرنماكردن(0.25),كهنه شدن(0.25),سالخوردهشدن(0.25),پير شدن(0.25)
ageing|سالخورده(0.75),كهن(0.25)
agency|نمايندگي(0.75),وكالت(0.25),گماشتگي(0.25),ماموريت(0.25),وساطت(0.25),پيشكاري(0.25),دفتر نمايندگي(0.25),خبر گزاري(0.25)
agent|عامل(0.75),نماينده(0.75),مامور(0.5),پيشكار(0.25),گماشته(0.25),وكيل(0.25)
aggression|تجاوز(0.75)
aggressive|مهاجم(0.75),پرخاشگر(0.5),متجاوز(0.5),پرتكاپو(0.25),پر پشتكار(0.25),سلطهجو(0.25)
agitator|اشوبگر(0.5),اتش زا(0.5),اسباب بهم زدن مايعات(0.5),اتش افروز(0.5)
ago|پيش(0.75),قبل(0.75),گذشته(0.5)
agonise|تقلا كردن(0.75),به خود پيچيدن(0.75)
agree|موافق(0.75)
agreement|توافق(0.75),سازش(0.25),قرارداد(0.75),موافقت(0.5),پيمان(0.5),معاهده(0.5),عهد(0.25),عهد نامه(0.25),قرار(0.5),قبول(0.25),مطابقه نحوي(0.25),معاهده و مقاطعه(0.25),شرط(0.25),عقد(0.25)
agricultural|كشاورزي(0.75),زراعتي(0.5),فلاحتي(0.25)
agriculture|كشاورزي(0.75),زراعت(0.75),فلاحت(0.25),برزگري(0.25)
ai|هوش مصنوعي(0.75)
aid|كمك(0.75),مساعدت(0.5),ياري(0.5),ياور(0.25),حمايت(0.5),مدد كار(0.25),معونت(0.25),هم دست(0.25),كمك كردن(0.25),ياري كردن(0.25),مساعدت كردن(0.25),پشتيباني كردن(0.25),حمايت كردن(0.25)
aim|هدف(0.75),مرام(0.25),منظور(0.5),مقصود(0.25),حدس(0.25),گمان(0.25),جهت(0.25),مراد(0.25),راهنمايي(0.25),رهبري(0.25),نشان(0.25),مقصد(0.25)
aiming|هدف(0.75)
air|هوا(0.75),باد(0.5),هر چيز شبيه هوا(0.25),نسيم(0.25),جريان هوا(0.25),نفس(0.25),شهيق(0.25),استنشاق(0.25),نما(0.25),سيما(0.25),اوازه(0.25),اواز(0.25),اهنگ(0.25),فضا(0.25),بادخور كردن(0.25),اشكار كردن(0.25)
aircraft|هواپيما(0.75),طياره(0.25)
airport|فرودگاه(0.75),فرودگاه هواپيما(0.25)
alan|الن(0.75)
alarm|هشدار(0.75),هراس(0.25),اخطار(0.5),اعلام خطر(0.5),اژير(0.5),اعلان خطر(0.25),اگاهي از خطر(0.25),شيپور حاضرباش(0.25),اشوب(0.25),بيم و وحشت(0.25),ساعت زنگي(0.25),از خطر اگاهانيدن(0.25),هراسان كردن(0.25),مضطرب كردن(0.25),اشوبناك كردن(0.25)
alcohol|الكل(0.75),هر نوع مشروبات الكلي(0.25)
alcoholic|الكلي(0.75),داراي الكل(0.25),معتاد بنوشيدن الكل(0.25)
alcoholism|اعتياد به نوشيدن الكل(0.5),ميخوارگي(0.5),تاثير الكل در مزاج(0.5)
ale|ابجو(0.5),ابجو ايل(0.5),ابجو انگليسي(0.5)
alertness|هوشياري(0.75)
alex|الكس(0.75)
algeria|الجزاير(0.75)
algerian|الجزاير(0.75)
alibi|بهانه(0.75),جاي ديگر(0.75),غيبت هنگام وقوع جرم(0.5),بهانه اوردن(0.5)
align|رديف كردن(0.5),هم تراز كردن(0.25),در يك رديف قرار گرفتن(0.25),بصف كردن(0.25),در صف امدن(0.25)
alike|يكسان(0.75),مشابه(0.5),مانند(0.5),شبيه(0.5),همانند(0.5),مطابق(0.25),مانندهم(0.25),يكجور(0.25),مساوي(0.25),متشابه(0.25),عينا مساوي و مرتبط با يكديگر(0.25),بتساوي(0.25)
alive|زنده(0.75),در قيد حيات(0.5),روشن(0.25),سرزنده(0.25),حساس(0.25)
all|تمام(0.75),همه(0.75),هر گونه(0.25),همه چيز(0.25),بسيار(0.25),كليه(0.5),جميع(0.25),همگي(0.5),يكسره(0.25),تماما(0.25),داروندار(0.25)
allan|الن(0.75)
allegation|ادعا(0.75),اظهار(0.5),بهانه(0.5),تاييد(0.5),مدعي(0.5)
allege|اقامه كردن(0.5),دليل اوردن(0.5),اراهي دادن(0.25)
alleged|اتهام(0.75)
allegiance|وفاداري(0.75),بيعت(0.75),تابعيت(0.5),تبعيت(0.5),سرسپردگي(0.5)
allen|الن(0.75)
alliance|اتحاد(0.75),پيوستگي(0.5),وصلت(0.25),پيمان بين دول(0.25),معاهده(0.25)
allocate|اختصاص دادن(0.5),تخصيص دادن(0.25)
allocation|تخصيص(0.75)
allow|اجازه دادن(0.5),رخصت دادن(0.25),پسنديدن(0.25),تصويب كردن(0.25),روا دانستن(0.25),پذيرفتن(0.25),اعطا كردن(0.25),ترخيص كردن(0.25)
allowance|مستمري(0.5),مدد معاش(0.5),خرجي(0.25),فوقالعاده و هزينه سفر(0.25),فوقالعاده دادن(0.25)
ally|دوست(0.5),پيوستن(0.25),متحد كردن(0.25)
almost|تقريبا(0.75),قريبا(0.25),بطور نزديك(0.25)
alone|تنها(0.75),يكتا(0.25),فقط(0.5),صرفا(0.25),يكتنه(0.25)
along|همراه(0.75),طول(0.75),در امتداد خط(0.25),جلو(0.25),پيش(0.25),موازي با طول(0.25)
alongside|در كنار(0.75),تا كنار(0.25),پهلو به پهلوي(0.25),در پهلو(0.25)
alpha|الفا(0.75)
already|قبلا(0.75),پيش از اين(0.5)
also|همچنين(0.75),نيز(0.75),همينطور(0.5),گذشته از اين(0.25),و همچنين(0.5),بعلاوه(0.5),و نيز(0.25)
altar|محراب(0.75),قربانگاه(0.75),مذبح(0.5)
alteration|تغيير(0.75),دگرگوني(0.5),تبديل(0.5),دگرش(0.25)
alternative|ديگر(0.5),متناوب(0.5),تناوبي(0.25),متبادل(0.25),نوبتي(0.25),نوبهاي(0.25),چاره(0.5),شق(0.25),شق ديگر(0.25),پيشنهاد متناوب(0.25)
alternatively|متناوبا(0.75),بنوبت(0.5)
although|اگر چه(0.75),هر چند(0.75),گرچه(0.75),بااينكه(0.25)
altruism|نوع دوستي(0.75),نوع پرستي(0.5),بشر دوستي(0.5),غيرپرستي(0.5)
altruistic|نوع دوستانه(0.75)
always|هميشه(0.75),همواره(0.75),همه وقت(0.25)
ambassador|سفير(0.75),ايلچي(0.25),پيك(0.25),مامور رسمي يك دولت(0.25)
ambassadorial|وابسته به سفارت(0.5)
ambiguity|ابهام(0.75),سخن مشكوك(0.25),گنگي معني(0.25),نا معلومي(0.25)
ambition|جاه طلبي(0.75),بلند همتي(0.5),ارزو(0.25),جاه طلب بودن(0.25)
amend|اصلاح كردن(0.5),بهتر كردن(0.5),ترميم كردن(0.5),بهبودي يافتن(0.5)
amendment|اصلاح(0.75),ترميم(0.25),تصحيح(0.25)
america|امريكا(0.75)
american|امريكايي(0.75)
amiable|مهربان(0.75),دلپذير(0.75),شيرين(0.5)
amino|امينه(0.75)
amiss|كثيف(0.75),بيمورد(0.75),عوضي(0.5),بد(0.75),نا درست(0.75),غلط(0.5),گمراه(0.5),منحرف(0.5),بي مورد(0.5)
amnesty|عفو عمومي(0.75),گذشت(0.5),عفو عمومي كردن(0.5)
among|ميان(0.75),در ميان(0.75),از جمله(0.5),در زمره(0.5)
amongst|ميان(0.75),در ميان(0.75),از جمله(0.5),در زمره(0.5)
amorphous|غير متبلور(0.75),بي شكل(0.75),بي نظم(0.75),غير شفاف(0.5),بدون تقسيم بندي(0.5),داراي ساختمان غير مشخص(0.5)
amount|مبلغ(0.75),مقدار(0.75),ميزان(0.75),مقدار ميزان(0.25),مايه(0.25),عده(0.25),بالغ شدن(0.25),رسيدن(0.25)
amply|بطور بيش از حد(0.75),بطور فراوان(0.5)
amusement|سرگرمي(0.75),تفريح(0.75),لذت(0.5),گمراهي(0.5),گيجي(0.5),فريب خوردگي(0.5),پذيرايي(0.5),نمايش(0.25)
an|(0.75)
anaesthetic|داروي بي هوشي(0.5),بيهوشانه(0.25),بي هوش كننده(0.25),كم كننده حس(0.25),حسگير(0.25)
analogue|انالوگ(0.75)
analyse|تجزيه و تحليل(0.75)
analysis|تحليل(0.75),تجزيه(0.5),جداگري(0.25),ازمايش(0.25),كاوش(0.25),فرگشايي(0.25),استقرا(0.25),شي تجزيه شده(0.25),كتاب يا موضوع تجزيه و تحليل شده(0.25),مشتق و تابع اوليه(0.25),اناليز(0.25)
analytics|تجزيه و تحليل ترافيك(0.75),فرگشاشناسي(0.5),علم تجزيه و تحليل(0.5),هندسه تحليلي(0.5)
anarchical|هرج و مرج(0.75),مربوط به اشفتگي اوضاع(0.75),پرهرج ومرج(0.75)
anatomical|تشريحي(0.75),وابسته به كالبدشناسي(0.25)
anchor|لنگر(0.75),لنگر كشتي(0.5),لنگر انداختن(0.5),محكم شدن(0.25),با لنگر بستن يا نگاه داشتن(0.25)
ancient|باستاني(0.75),پارينه(0.75),كهن(0.75),كهنه(0.5),قديمي(0.5),ديرينه(0.5),پير(0.25),ابا واجدادي(0.25),دير(0.25),عتيق(0.25)
and|و(0.75)
andrei|اندري(0.75)
andy|اندي(0.75)
anecdote|حكايت(0.75),امثال(0.5),قصه كوتاه(0.5)
angel|فرشته(0.75),فرشتگان(0.5),فروهر(0.25),سروش(0.25)
angeles|انجلس(0.75)
angle|زاويه(0.75),قلاب ماهي گيري(0.25),گوشه(0.5),كنج(0.25),تيزي يا گوشه هر چيزي(0.25),طرف(0.25),با قلاب ماهي گرفتن(0.25),دام گستردن(0.25),دسيسه كردن(0.25)
anglican|وابسته بكليساي انگليس(0.75)
anglo|انگليس(0.75)
animal|حيواني(0.75),حيوان(0.75),جانوري(0.5),جانور(0.5)
anita|انيتا(0.75)
anna|انا(0.75)
annex|ضميمه(0.75),پيوست(0.75),ضميمه سازي(0.5),پيوستن(0.5),ضميمه كردن(0.5)
anniversary|سالگرد(0.75),سوگواري ساليانه(0.25),جشن ساليانه عروسي(0.25),مجلس يادبود يا جشن ساليانه(0.25),جشن يادگاري(0.25)
annotate|تفسير نوشتن(0.5),حاشيه نوشتن(0.5),يادداشت نوشتن(0.5)
announce|اعلام(0.75),خبر دادن(0.5),اگهي دادن(0.25),اعلان كردن(0.25),اخطار كردن(0.25),انتشار دادن(0.25),اشكار كردن(0.25),مدرك دادن(0.25)
annual|ساليانه(0.75),يك ساله(0.25)
annually|سالانه(0.75)
anonymous|بي نام(0.5),داراي نام مستعار(0.25),تخلصي(0.25)
another|ديگر(0.75),ديگري(0.75),جدا(0.25),ساير(0.25),غير(0.25),يكي ديگر(0.75),شخص ديگر(0.25)
answer|پاسخ(0.75),جواب(0.75),دفاع(0.25),پاسخ دادن(0.5),جواب دادن(0.5),از عهده برامدن(0.25),دفاع كردن(0.25),جوابگو شدن(0.25),بكار امدن(0.25),بكار رفتن(0.25),بدرد خوردن(0.25),جواب احتياج را دادن(0.25),عهده دار شدن(0.25)
answering|پاسخ(0.75)
ante|حول و حوش(0.75)
antenatal|مربوط به قبل از تولد(0.5)
anti|مخالف(0.5)
antigen|پادگن(0.5),پادزا(0.25),مواد توليد كننده پادتن(0.25)
anxiety|اضطراب(0.75),نگراني(0.5),تشويش(0.5),ارنگ(0.25),دلواپسي(0.25),انديشه(0.25),اشتياق(0.25),تمايل(0.25),غم(0.25),خوف(0.25)
anxious|مشتاق(0.5),دلواپس(0.5),ارزومند(0.25),انديشناك(0.25),بيم ناك(0.25)
anxiously|مشتاقانه(0.75),بطور نگران(0.5)
any|هر(0.75),هيچگونه(0.5),هيچ(0.75),كدام(0.5),چه(0.25),چقدر(0.25),چه نوع(0.25),از نوع(0.25),هيچ نوع(0.25)
anybody|كسي(0.75),هيچ كس(0.5),كسي هركجا(0.25)
anyone|هر كس(0.75),هر چيز(0.25),هر شخص معين(0.25)
anything|هر چيزي(0.75),چيزي(0.75),هر چيز(0.75),هيچ چيز(0.5),ابدا(0.25),هر كار(0.25),مه كار چيزي(0.25),هيچ كار(0.25),چيزي(0.75),هيچ(0.5),بر مقدار(0.25),بهيچ وجه(0.25),صفر(0.25)
anyway|در هر صورت(0.5),بهر حال(0.5),بهر اندازه(0.25),بهر اندازه كه(0.25)
anywhere|هر جا(0.75),هر كجا(0.5)
apart|جدا(0.75),كنار(0.5),مجزا از(0.25),سوا(0.25)
apathy|بي علاقگي(0.75),بي حسي(0.5),بي عاطفگي(0.5)
apollo|اپولو(0.75)
apology|عذرخواهي(0.75),پوزش(0.75),مدافعه(0.5),اعتذار(0.5)
appal|ترساندن(0.75),وحشت زده شدن(0.75)
apparent|ظاهر(0.5),معلوم(0.5),مسلم(0.25),پيدا(0.25),اشكار(0.25),واري مسلم(0.25)
apparently|ظاهرا(0.75)
appeal|درخواست(0.75),التماس(0.25),استيناف(0.75),جذبه(0.5),طلب(0.25)
